Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Jarvan IV Jarvan IV	180	267	60%	88	92	49%	4.2	4.1	1.53	84.0	32:37	6.8	409	384	1.3	71	68
Nocturne Nocturne	108	297	55%	51	57	47%	3.0	4.4	1.77	64.4	32:35	7.1	450	389	-1.2	89	-105
Rumble Rumble	1	323	48%	0	1	0%	1.7	4.0	3.00	100.0	28:15	7.8	657	386	8	569	206
Pantheon Pantheon	170	179	45%	80	90	47%	2.9	4.7	1.65	66.2	32:11	6.7	509	387	-4.4	-48	-172
Xin Zhao Xin Zhao	209	119	40%	98	111	47%	2.9	6.5	1.64	47.2	32:11	7.1	459	387	-0.4	-137	-64
Vi Vi	143	161	38%	81	62	57%	3.1	5.7	1.74	63.5	32:27	7.0	359	389	2.3	-47	205
Jayce Jayce	8	136	21%	2	6	25%	2.1	7.2	3.25	71.4	32:07	7.5	704	418	1	488	-307
Lee Sin Lee Sin	84	74	19%	47	37	56%	4.0	6.1	1.90	37.2	32:07	7.0	454	402	0.3	114	137
Ambessa Ambessa	16	109	18%	4	12	25%	2.1	6.6	2.00	73.3	31:01	7.2	444	382	-0.9	100	109
Naafiri Naafiri	76	65	16%	40	36	53%	3.6	7.2	2.11	36.6	32:51	7.5	548	413	-0.1	169	-49
Wukong Wukong	85	52	15%	40	45	47%	3.0	8.0	2.04	28.8	33:28	7.0	410	391	1.9	-8	37
Skarner Skarner	73	52	15%	37	36	51%	3.5	7.3	1.89	17.9	32:22	6.6	423	368	0.3	-152	-94
Trundle Trundle	52	42	11%	30	22	58%	4.2	7.6	2.13	24.4	32:41	6.7	359	390	-2.8	-81	-294
Poppy Poppy	16	38	7%	9	7	56%	3.6	7.3	2.69	12.5	33:15	6.3	326	365	-9.4	-66	-217
Dr. Mundo Dr. Mundo	19	20	4%	8	11	42%	4.1	6.1	2.26	20.0	33:36	7.2	661	379	5.6	-110	140
Olaf Olaf	8	25	4%	5	3	63%	4.2	8.0	2.50	14.3	31:17	7.7	610	427	17.6	537	939
Jax Jax	1	21	3%	0	1	0%	2.0	8.7	3.00	0.0	42:51	6.5	494	347	12	501	1036
Ornn Ornn	1	18	3%	0	1	0%	1.0	7.4	4.00	0.0	29:54	7.5	178	330	-5	-86	-49
Aatrox Aatrox	14	10	3%	9	5	64%	4.0	6.5	2.43	7.7	32:15	7.3	431	405	6.4	202	397
Shen Shen	5	13	2%	4	1	80%	8.8	7.6	1.80	0.0	35:24	6.9	307	394	-1.4	-47	158
Maokai Maokai	18	9	2%	9	9	50%	3.2	7.2	3.28	33.3	31:00	6.7	544	373	-5.2	-320	-580
Sylas Sylas	1	13	2%	0	1	0%	1.3	8.3	5.00	0.0	31:22	7.5	262	352	-	-721	-
Sejuani Sejuani	22	3	2%	12	10	55%	6.0	8.0	2.55	14.3	31:43	6.7	385	371	-1.4	-102	-77
Zaahen Zaahen	12	7	2%	5	7	42%	4.1	9.0	2.58	9.1	36:16	7.5	486	403	3.9	111	114
Qiyana Qiyana	4	5	1%	2	2	50%	3.8	8.4	2.00	0.0	33:28	8.5	528	488	-9	794	-92
Malphite Malphite	4	5	1%	2	2	50%	2.3	8.4	2.50	0.0	38:52	5.9	266	340	-4	-404	-2
Nasus Nasus	2	6	1%	2	0	100%	-	4.2	4.00	50.0	27:01	7.7	787	526	-7.5	476	-268
Shyvana Shyvana	6	3	1%	3	3	50%	3.1	8.3	2.83	0.0	30:56	8.3	394	418	19.7	436	1340
Nidalee Nidalee	4	2	1%	2	2	50%	4.2	6.0	2.75	33.3	35:42	7.5	741	434	6	269	314
KhaZix KhaZix	5	1	1%	4	1	80%	5.5	9.0	2.00	0.0	33:23	7.9	738	516	7	958	386
RekSai RekSai	3	3	1%	1	2	33%	3.9	8.7	4.00	33.3	37:19	7.3	359	400	-5.5	395	-195
Darius Darius	1	0	0%	0	1	0%	1.1	-	1.00	0.0	44:27	5.7	200	344	6	-153	139
Viego Viego	1	0	0%	1	0	100%	1.8	-	2.00	100.0	40:32	6.2	279	372	-2	-346	-739
