Champion	# Games	Wins	Losses	Winrate	KDA	Avg Kills+Assists	Avg Kills involved	Total Game Kills	Team's FB%	Team's FD%	Team's FRH%	Team's FT%
Ryze Ryze	18	9	9	50.0	3.5	8.8	11.4	27.9	55.6	72.2	52.9	50
Viktor Viktor	10	7	3	70.0	5.0	11.1	13.3	30.8	70	70	70	60
Annie Annie	10	4	6	40.0	2.8	9.4	12.7	28.7	70	40	60	50
Taliyah Taliyah	8	4	4	50.0	2.6	7.9	10.9	24.0	37.5	50	37.5	75
Aurora Aurora	7	4	3	57.1	4.3	11.6	14.3	32.1	57.1	71.4	28.6	57.1
Anivia Anivia	7	6	1	85.7	6.0	9.4	11.0	26.1	57.1	42.9	71.4	57.1
Cassiopeia Cassiopeia	6	2	4	33.3	2.1	6.5	9.7	26.2	16.7	66.7	16.7	50
Orianna Orianna	6	1	5	16.7	3.4	8.0	10.3	26.2	33.3	0	33.3	33.3
Ahri Ahri	6	3	3	50.0	3.9	11.7	14.7	37.0	0	16.7	60	33.3
Twisted Fate Twisted Fate	4	1	3	25.0	3.0	7.5	10.0	27.0	50	50	50	25
Mel Mel	3	2	1	66.7	9.3	12.3	13.7	28.3	66.7	0	66.7	66.7
Akali Akali	3	1	2	33.3	1.8	7.0	11.0	33.3	33.3	33.3	33.3	33.3
Galio Galio	3	2	1	66.7	4.7	11.0	13.3	26.0	66.7	66.7	0	33.3
Yone Yone	2	1	1	50.0	3.0	10.5	14.0	33.0	50	0	100	50
LeBlanc LeBlanc	2	1	1	50.0	5.0	10.0	12.0	37.0	100	100	50	100
KogMaw KogMaw	1	0	1	0.0	5.0	5.0	6.0	18.0	0	0	100	0
Sylas Sylas	1	0	1	0.0	0.2	2.0	11.0	23.0	0	0	0	0
Azir Azir	1	1	0	100.0	4.3	13.0	16.0	43.0	100	100	100	0
